plant,pollinator,lat_bin,lon_bin,overlap
Asclepias syriaca,Satyrium calanus,43.5,-94.5,0.8035352071863228
Asclepias syriaca,Satyrium calanus,43.5,-73.5,0.8355856484713109
Asclepias syriaca,Satyrium calanus,39.0,-85.5,0.8037593984962406
Asclepias syriaca,Satyrium calanus,40.5,-81.0,0.6916666666666667
Asclepias syriaca,Satyrium calanus,39.0,-76.5,0.8523156089193825
Asclepias syriaca,Satyrium calanus,40.5,-72.0,0.6486614546316039
Asclepias syriaca,Satyrium calanus,40.5,-97.5,0.3974358974358974
Asclepias syriaca,Satyrium calanus,40.5,-88.5,0.7773148148148148
Asclepias syriaca,Satyrium calanus,40.5,-79.5,0.68
Asclepias syriaca,Satyrium calanus,40.5,-70.5,0.6833333333333333
Asclepias syriaca,Satyrium calanus,42.0,-84.0,0.7824561403508772
Asclepias syriaca,Satyrium calanus,42.0,-75.0,0.5675208753239274
Asclepias syriaca,Satyrium calanus,34.5,-81.0,0.4662162162162162
Asclepias syriaca,Satyrium calanus,43.5,-69.0,0.6222222222222222
Asclepias syriaca,Satyrium calanus,39.0,-81.0,0.6632860040567952
Asclepias syriaca,Satyrium calanus,42.0,-73.5,0.7861306532663317
Asclepias syriaca,Satyrium calanus,43.5,-85.5,0.4560439560439561
Asclepias syriaca,Satyrium calanus,40.5,-93.0,0.5833333333333333
Asclepias syriaca,Satyrium calanus,34.5,-79.5,0.3650793650793651
Asclepias syriaca,Satyrium calanus,39.0,-88.5,0.6334776334776335
Asclepias syriaca,Satyrium calanus,40.5,-84.0,0.5831932773109243
Asclepias syriaca,Satyrium calanus,39.0,-79.5,0.5238095238095238
Asclepias syriaca,Satyrium calanus,45.0,-93.0,0.8
Asclepias syriaca,Nymphalis antiopa,40.5,-82.5,0.24281150159744408
Asclepias syriaca,Nymphalis antiopa,37.5,-96.0,0.36666666666666664
Asclepias syriaca,Nymphalis antiopa,36.0,-82.5,0.16305459006338172
Asclepias syriaca,Nymphalis antiopa,37.5,-87.0,0.19318181818181818
Asclepias syriaca,Nymphalis antiopa,37.5,-78.0,0.23360107095046853
Asclepias syriaca,Nymphalis antiopa,42.0,-78.0,0.20903954802259886
Asclepias syriaca,Nymphalis antiopa,43.5,-90.0,0.2857142857142857
Asclepias syriaca,Nymphalis antiopa,34.5,-84.0,0.13174019607843138
Asclepias syriaca,Nymphalis antiopa,43.5,-72.0,0.19448275862068967
Asclepias syriaca,Nymphalis antiopa,39.0,-84.0,0.09322033898305085
Asclepias syriaca,Nymphalis antiopa,39.0,-75.0,0.13110165696372594
Asclepias syriaca,Nymphalis antiopa,37.5,-85.5,0.16346604215456673
Asclepias syriaca,Nymphalis antiopa,42.0,-85.5,0.2229965156794425
Asclepias syriaca,Nymphalis antiopa,37.5,-76.5,0.12962962962962962
Asclepias syriaca,Nymphalis antiopa,42.0,-76.5,0.22790271966527198
Asclepias syriaca,Nymphalis antiopa,34.5,-82.5,0.019230769230769232
Asclepias syriaca,Nymphalis antiopa,43.5,-70.5,0.2009300048947626
Asclepias syriaca,Nymphalis antiopa,40.5,-75.0,0.26591134783786224
Asclepias syriaca,Nymphalis antiopa,40.5,-73.5,0.16940314587373412
Asclepias syriaca,Nymphalis antiopa,42.0,-90.0,0.31514913657770804
Asclepias syriaca,Nymphalis antiopa,37.5,-81.0,0.2916666666666667
Asclepias syriaca,Nymphalis antiopa,43.5,-93.0,0.28181818181818186
Asclepias syriaca,Nymphalis antiopa,42.0,-88.5,0.32129408644921775
Asclepias syriaca,Nymphalis antiopa,42.0,-79.5,0.20731707317073172
Asclepias syriaca,Nymphalis antiopa,43.5,-91.5,0.26190476190476186
Asclepias syriaca,Nymphalis antiopa,40.5,-87.0,0.0975609756097561
Asclepias syriaca,Nymphalis antiopa,36.0,-81.0,0.2118353344768439
Asclepias syriaca,Nymphalis antiopa,45.0,-94.5,0.2338709677419355
Asclepias syriaca,Nymphalis antiopa,40.5,-76.5,0.2876712328767123
Asclepias syriaca,Nymphalis antiopa,37.5,-93.0,0.12195121951219512
Asclepias syriaca,Nymphalis antiopa,45.0,-85.5,0.18171091445427728
Asclepias syriaca,Nymphalis antiopa,37.5,-84.0,0.2222222222222222
Asclepias syriaca,Nymphalis antiopa,36.0,-79.5,0.10622899974153527
Asclepias syriaca,Nymphalis antiopa,43.5,-87.0,0.23728813559322032
Asclepias syriaca,Nymphalis antiopa,42.0,-72.0,0.16326294341020653
Asclepias syriaca,Nymphalis antiopa,39.0,-87.0,0.04081632653061224
Asclepias syriaca,Nymphalis antiopa,39.0,-78.0,0.21559026799835346
Asclepias syriaca,Nymphalis antiopa,43.5,-94.5,0.24249422632794457
Asclepias syriaca,Nymphalis antiopa,43.5,-73.5,0.22731043307520904
Asclepias syriaca,Nymphalis antiopa,39.0,-85.5,0.16483516483516486
Asclepias syriaca,Nymphalis antiopa,40.5,-81.0,0.22602739726027396
Asclepias syriaca,Nymphalis antiopa,39.0,-76.5,0.1014726184997699
Asclepias syriaca,Nymphalis antiopa,40.5,-72.0,0.10508930756055787
Asclepias syriaca,Nymphalis antiopa,40.5,-97.5,0.08823529411764705
Asclepias syriaca,Nymphalis antiopa,40.5,-88.5,0.3501338329764454
Asclepias syriaca,Nymphalis antiopa,40.5,-79.5,0.3150684931506849
Asclepias syriaca,Nymphalis antiopa,40.5,-70.5,0.19148936170212766
Asclepias syriaca,Nymphalis antiopa,42.0,-84.0,0.23698732289336316
Asclepias syriaca,Nymphalis antiopa,46.5,-97.5,0.16666666666666666
Asclepias syriaca,Nymphalis antiopa,42.0,-75.0,0.27192762000502635
Asclepias syriaca,Nymphalis antiopa,34.5,-81.0,0.18951612903225806
Asclepias syriaca,Nymphalis antiopa,43.5,-69.0,0.23548387096774193
Asclepias syriaca,Nymphalis antiopa,39.0,-81.0,0.21030693444486548
Asclepias syriaca,Nymphalis antiopa,37.5,-82.5,0.25416666666666665
Asclepias syriaca,Nymphalis antiopa,42.0,-73.5,0.2571638141809291
Asclepias syriaca,Nymphalis antiopa,43.5,-85.5,0.2117647058823529
Asclepias syriaca,Nymphalis antiopa,40.5,-93.0,0.3225806451612903
Asclepias syriaca,Nymphalis antiopa,34.5,-79.5,0.09991909385113268
Asclepias syriaca,Nymphalis antiopa,39.0,-88.5,0.0736842105263158
Asclepias syriaca,Nymphalis antiopa,40.5,-84.0,0.21739130434782608
Asclepias syriaca,Nymphalis antiopa,39.0,-79.5,0.22580086580086578
Asclepias syriaca,Nymphalis antiopa,45.0,-93.0,0.25263157894736843
Asclepias syriaca,Typocerus velutinus,40.5,-82.5,0.6314616755793226
Asclepias syriaca,Typocerus velutinus,37.5,-87.0,0.6666666666666666
Asclepias syriaca,Typocerus velutinus,36.0,-82.5,0.6025685525859077
Asclepias syriaca,Typocerus velutinus,37.5,-78.0,0.42793159609120524
Asclepias syriaca,Typocerus velutinus,42.0,-78.0,0.46353646353646355
Asclepias syriaca,Typocerus velutinus,43.5,-90.0,0.7128851540616248
Asclepias syriaca,Typocerus velutinus,34.5,-84.0,0.34841628959276016
Asclepias syriaca,Typocerus velutinus,43.5,-72.0,0.2220431840154689
Asclepias syriaca,Typocerus velutinus,39.0,-84.0,0.612369337979094
Asclepias syriaca,Typocerus velutinus,39.0,-75.0,0.5243506493506493
Asclepias syriaca,Typocerus velutinus,37.5,-85.5,0.38774055595153245
Asclepias syriaca,Typocerus velutinus,42.0,-85.5,0.5358974358974359
Asclepias syriaca,Typocerus velutinus,37.5,-76.5,0.4651504035216434
Asclepias syriaca,Typocerus velutinus,42.0,-76.5,0.46875
Asclepias syriaca,Typocerus velutinus,34.5,-82.5,0.7383720930232559
Asclepias syriaca,Typocerus velutinus,43.5,-70.5,0.31399782135076254
Asclepias syriaca,Typocerus velutinus,40.5,-75.0,0.4159033948507633
Asclepias syriaca,Typocerus velutinus,40.5,-73.5,0.40962663067926225
Asclepias syriaca,Typocerus velutinus,42.0,-90.0,0.5216783216783217
Asclepias syriaca,Typocerus velutinus,37.5,-81.0,0.711111111111111
Asclepias syriaca,Typocerus velutinus,43.5,-93.0,0.6024844720496894
Asclepias syriaca,Typocerus velutinus,42.0,-88.5,0.4700542005420054
Asclepias syriaca,Typocerus velutinus,42.0,-79.5,0.40555555555555556
Asclepias syriaca,Typocerus velutinus,43.5,-91.5,0.5
Asclepias syriaca,Typocerus velutinus,40.5,-87.0,0.5631578947368421
Asclepias syriaca,Typocerus velutinus,36.0,-81.0,0.6383239402107326
Asclepias syriaca,Typocerus velutinus,45.0,-94.5,0.4892857142857143
Asclepias syriaca,Typocerus velutinus,40.5,-76.5,0.4838892029395138
Asclepias syriaca,Typocerus velutinus,37.5,-93.0,0.6214285714285714
Asclepias syriaca,Typocerus velutinus,45.0,-85.5,0.5019607843137255
Asclepias syriaca,Typocerus velutinus,37.5,-84.0,0.5771428571428572
Asclepias syriaca,Typocerus velutinus,36.0,-79.5,0.7434917602101744
Asclepias syriaca,Typocerus velutinus,43.5,-87.0,0.6090909090909091
Asclepias syriaca,Typocerus velutinus,42.0,-72.0,0.2776522284996861
Asclepias syriaca,Typocerus velutinus,39.0,-87.0,0.6885775862068965
Asclepias syriaca,Typocerus velutinus,39.0,-78.0,0.5762971146900098
Asclepias syriaca,Typocerus velutinus,43.5,-94.5,0.6297486849795442
Asclepias syriaca,Typocerus velutinus,43.5,-73.5,0.5018678160919541
Asclepias syriaca,Typocerus velutinus,39.0,-85.5,0.6640394088669951
Asclepias syriaca,Typocerus velutinus,40.5,-81.0,0.696078431372549
Asclepias syriaca,Typocerus velutinus,39.0,-76.5,0.43478980470043027
Asclepias syriaca,Typocerus velutinus,40.5,-72.0,0.28152341739577974
Asclepias syriaca,Typocerus velutinus,40.5,-88.5,0.6422169811320755
Asclepias syriaca,Typocerus velutinus,40.5,-79.5,0.506896551724138
Asclepias syriaca,Typocerus velutinus,40.5,-70.5,0.3055555555555555
Asclepias syriaca,Typocerus velutinus,42.0,-84.0,0.5111111111111112
Asclepias syriaca,Typocerus velutinus,42.0,-75.0,0.20186335403726707
Asclepias syriaca,Typocerus velutinus,34.5,-81.0,0.8216666666666667
Asclepias syriaca,Typocerus velutinus,43.5,-69.0,0.42450980392156856
Asclepias syriaca,Typocerus velutinus,39.0,-81.0,0.6225535880708295
Asclepias syriaca,Typocerus velutinus,37.5,-82.5,0.5380952380952382
Asclepias syriaca,Typocerus velutinus,42.0,-73.5,0.46085106382978724
Asclepias syriaca,Typocerus velutinus,43.5,-85.5,0.49999999999999994
Asclepias syriaca,Typocerus velutinus,34.5,-79.5,0.6583333333333333
Asclepias syriaca,Typocerus velutinus,39.0,-88.5,0.5995670995670995
Asclepias syriaca,Typocerus velutinus,40.5,-84.0,0.5488721804511278
Asclepias syriaca,Typocerus velutinus,39.0,-79.5,0.6533333333333333
Asclepias syriaca,Typocerus velutinus,45.0,-93.0,0.65
Asclepias syriaca,Danaus plexippus,40.5,-82.5,0.26073172951491064
Asclepias syriaca,Danaus plexippus,37.5,-96.0,0.09040178571428571
Asclepias syriaca,Danaus plexippus,36.0,-82.5,0.36255412865879977
Asclepias syriaca,Danaus plexippus,37.5,-87.0,0.10616438356164384
Asclepias syriaca,Danaus plexippus,37.5,-78.0,0.13094967409428526
Asclepias syriaca,Danaus plexippus,42.0,-78.0,0.28189910979228483
Asclepias syriaca,Danaus plexippus,43.5,-90.0,0.39044506691565517
Asclepias syriaca,Danaus plexippus,34.5,-84.0,0.1523079486752208
Asclepias syriaca,Danaus plexippus,43.5,-72.0,0.21311003209612378
Asclepias syriaca,Danaus plexippus,39.0,-84.0,0.19850498338870431
Asclepias syriaca,Danaus plexippus,39.0,-75.0,0.14590097402597402
Asclepias syriaca,Danaus plexippus,37.5,-85.5,0.18972547267294104
Asclepias syriaca,Danaus plexippus,42.0,-85.5,0.4279191128506197
Asclepias syriaca,Danaus plexippus,37.5,-76.5,0.26800434443578036
Asclepias syriaca,Danaus plexippus,42.0,-76.5,0.18421052631578946
Asclepias syriaca,Danaus plexippus,34.5,-82.5,0.1214622641509434
Asclepias syriaca,Danaus plexippus,43.5,-70.5,0.2611111111111111
Asclepias syriaca,Danaus plexippus,40.5,-75.0,0.20566788200198874
Asclepias syriaca,Danaus plexippus,40.5,-73.5,0.1773082587515577
Asclepias syriaca,Danaus plexippus,42.0,-90.0,0.401277294134437
Asclepias syriaca,Danaus plexippus,37.5,-81.0,0.39271899886234357
Asclepias syriaca,Danaus plexippus,43.5,-93.0,0.2779524289696898
Asclepias syriaca,Danaus plexippus,42.0,-88.5,0.34972497249724976
Asclepias syriaca,Danaus plexippus,42.0,-79.5,0.21446959609409677
Asclepias syriaca,Danaus plexippus,43.5,-91.5,0.26598465473145777
Asclepias syriaca,Danaus plexippus,40.5,-87.0,0.3566084788029925
Asclepias syriaca,Danaus plexippus,36.0,-81.0,0.20312392010505215
Asclepias syriaca,Danaus plexippus,45.0,-94.5,0.32667398463227226
Asclepias syriaca,Danaus plexippus,40.5,-76.5,0.20615097856477166
Asclepias syriaca,Danaus plexippus,37.5,-93.0,0.11329305135951662
Asclepias syriaca,Danaus plexippus,45.0,-85.5,0.4683544303797469
Asclepias syriaca,Danaus plexippus,37.5,-84.0,0.15950920245398773
Asclepias syriaca,Danaus plexippus,36.0,-79.5,0.1156773211567732
Asclepias syriaca,Danaus plexippus,43.5,-87.0,0.5350236028627988
Asclepias syriaca,Danaus plexippus,42.0,-72.0,0.20981673967855158
Asclepias syriaca,Danaus plexippus,39.0,-87.0,0.1667650282438243
Asclepias syriaca,Danaus plexippus,39.0,-78.0,0.15045135406218654
Asclepias syriaca,Danaus plexippus,43.5,-94.5,0.34695800614544214
Asclepias syriaca,Danaus plexippus,43.5,-73.5,0.2835806052241684
Asclepias syriaca,Danaus plexippus,39.0,-85.5,0.1689969604863222
Asclepias syriaca,Danaus plexippus,40.5,-81.0,0.2475325884543762
Asclepias syriaca,Danaus plexippus,39.0,-76.5,0.21008739338330318
Asclepias syriaca,Danaus plexippus,40.5,-72.0,0.2273188338975906
Asclepias syriaca,Danaus plexippus,40.5,-97.5,0.2249230769230769
Asclepias syriaca,Danaus plexippus,40.5,-88.5,0.3667703572033181
Asclepias syriaca,Danaus plexippus,40.5,-79.5,0.2899786780383795
Asclepias syriaca,Danaus plexippus,40.5,-70.5,0.39291465378421897
Asclepias syriaca,Danaus plexippus,42.0,-84.0,0.24667030071772506
Asclepias syriaca,Danaus plexippus,46.5,-97.5,0.40284360189573454
Asclepias syriaca,Danaus plexippus,42.0,-75.0,0.14655127740063223
Asclepias syriaca,Danaus plexippus,34.5,-81.0,0.16878980891719747
Asclepias syriaca,Danaus plexippus,43.5,-69.0,0.30505050505050507
Asclepias syriaca,Danaus plexippus,39.0,-81.0,0.28368317789663233
Asclepias syriaca,Danaus plexippus,37.5,-82.5,0.17763157894736842
Asclepias syriaca,Danaus plexippus,42.0,-73.5,0.33698420183918887
