plant,feature,contrast,auc
Prunus americana,N,vs random,0.9123334061612409
Prunus americana,N,vs co-occurring,0.832427536231884
Astragalus whitneyi,delta,vs random,0.943125
Astragalus whitneyi,delta,vs co-occurring,0.845
Astragalus whitneyi,delta_local,vs random,0.9862500000000001
Astragalus whitneyi,delta_local,vs co-occurring,0.8224999999999999
Astragalus whitneyi,N,vs random,0.99875
Astragalus whitneyi,N,vs co-occurring,0.9840625000000001
Camissoniopsis bistorta,delta,vs random,0.8144444444444444
Camissoniopsis bistorta,delta,vs co-occurring,0.6941666666666667
Camissoniopsis bistorta,delta_local,vs random,0.8902777777777777
Camissoniopsis bistorta,delta_local,vs co-occurring,0.5800000000000001
Camissoniopsis bistorta,N,vs random,0.9199999999999999
Camissoniopsis bistorta,N,vs co-occurring,0.7477777777777778
Vaccinium macrocarpon,delta,vs random,0.814921875
Vaccinium macrocarpon,delta,vs co-occurring,0.7129296875
Vaccinium macrocarpon,delta_local,vs random,0.8931250000000001
Vaccinium macrocarpon,delta_local,vs co-occurring,0.7220312499999999
Vaccinium macrocarpon,N,vs random,0.9496875
Vaccinium macrocarpon,N,vs co-occurring,0.8305078124999999
Cerastium velutinum,delta,vs random,0.72625
Cerastium velutinum,delta,vs co-occurring,0.43562500000000004
Cerastium velutinum,delta_local,vs random,0.9581249999999999
Cerastium velutinum,delta_local,vs co-occurring,0.730625
Cerastium velutinum,N,vs random,0.955625
Cerastium velutinum,N,vs co-occurring,0.7384375
Berberis aquifolium,delta,vs random,0.83213589529379
Berberis aquifolium,delta,vs co-occurring,0.7336111111111111
Berberis aquifolium,delta_local,vs random,0.9141743247006404
Berberis aquifolium,delta_local,vs co-occurring,0.7793888888888889
Berberis aquifolium,N,vs random,0.9704260651629071
Berberis aquifolium,N,vs co-occurring,0.9429722222222221
Eremogone congesta,delta,vs random,0.9625
Eremogone congesta,delta,vs co-occurring,0.9081250000000001
Eremogone congesta,delta_local,vs random,0.996875
Eremogone congesta,delta_local,vs co-occurring,0.946875
Eremogone congesta,N,vs random,0.9978125
Eremogone congesta,N,vs co-occurring,0.974375
Linum bienne,delta,vs random,0.9400000000000001
Linum bienne,delta,vs co-occurring,0.83125
Linum bienne,delta_local,vs random,0.9925
Linum bienne,delta_local,vs co-occurring,0.88625
Linum bienne,N,vs random,0.995
Linum bienne,N,vs co-occurring,0.97625
Geobalanus oblongifolius,delta,vs random,0.8456435205661212
Geobalanus oblongifolius,delta,vs co-occurring,0.7129411764705883
Geobalanus oblongifolius,delta_local,vs random,0.9472209936606222
Geobalanus oblongifolius,delta_local,vs co-occurring,0.705735294117647
Geobalanus oblongifolius,N,vs random,0.9928497714875424
Geobalanus oblongifolius,N,vs co-occurring,0.9428676470588235
Jeffersonia diphylla,delta,vs random,0.843
Jeffersonia diphylla,delta,vs co-occurring,0.7405
Jeffersonia diphylla,delta_local,vs random,0.9279999999999999
Jeffersonia diphylla,delta_local,vs co-occurring,0.758
Jeffersonia diphylla,N,vs random,0.95775
Jeffersonia diphylla,N,vs co-occurring,0.84375
Orthocarpus cuspidatus,delta,vs random,0.9525
Orthocarpus cuspidatus,delta,vs co-occurring,0.8866666666666667
Orthocarpus cuspidatus,delta_local,vs random,0.985
Orthocarpus cuspidatus,delta_local,vs co-occurring,0.8591666666666666
Orthocarpus cuspidatus,N,vs random,0.9979166666666666
Orthocarpus cuspidatus,N,vs co-occurring,0.9633333333333333
Centromadia pungens,delta,vs random,0.9469828417196839
Centromadia pungens,delta,vs co-occurring,0.8909615384615385
Centromadia pungens,delta_local,vs random,0.9838056680161943
Centromadia pungens,delta_local,vs co-occurring,0.8809615384615385
Centromadia pungens,N,vs random,0.9932523616734142
Centromadia pungens,N,vs co-occurring,0.9374999999999999
Mertensia longiflora,delta,vs random,0.7433333333333334
Mertensia longiflora,delta,vs co-occurring,0.5179166666666666
Mertensia longiflora,delta_local,vs random,0.7356250000000001
Mertensia longiflora,delta_local,vs co-occurring,0.4395833333333333
Mertensia longiflora,N,vs random,0.7297916666666667
Mertensia longiflora,N,vs co-occurring,0.41874999999999996
Hesperocallis undulata,delta,vs random,0.9974999999999999
Hesperocallis undulata,delta,vs co-occurring,0.98875
Hesperocallis undulata,delta_local,vs random,0.9875
Hesperocallis undulata,delta_local,vs co-occurring,0.9562499999999999
Hesperocallis undulata,N,vs random,1.0
Hesperocallis undulata,N,vs co-occurring,0.995
Ligustrum lucidum,delta,vs random,0.8908333333333334
Ligustrum lucidum,delta,vs co-occurring,0.835
Ligustrum lucidum,delta_local,vs random,0.9208333333333333
Ligustrum lucidum,delta_local,vs co-occurring,0.8825
Ligustrum lucidum,N,vs random,0.9958333333333332
Ligustrum lucidum,N,vs co-occurring,0.9975
Eremalche exilis,delta,vs random,0.935
Eremalche exilis,delta,vs co-occurring,0.7937500000000001
Eremalche exilis,delta_local,vs random,0.99
