plant,feature,contrast,auc
Oxalis californica,delta,vs co-occurring,0.875
Oxalis californica,delta_local,vs random,0.9925
Oxalis californica,delta_local,vs co-occurring,0.8974999999999999
Oxalis californica,N,vs random,0.9912500000000001
Oxalis californica,N,vs co-occurring,0.9425
Arnoglossum plantagineum,delta,vs random,0.7437499999999999
Arnoglossum plantagineum,delta,vs co-occurring,0.44625
Arnoglossum plantagineum,delta_local,vs random,0.8375
Arnoglossum plantagineum,delta_local,vs co-occurring,0.40750000000000003
Arnoglossum plantagineum,N,vs random,0.990625
Arnoglossum plantagineum,N,vs co-occurring,0.99625
Ligustrum japonicum,delta,vs random,0.8665277777777778
Ligustrum japonicum,delta,vs co-occurring,0.7165277777777777
Ligustrum japonicum,delta_local,vs random,0.8555555555555556
Ligustrum japonicum,delta_local,vs co-occurring,0.6731944444444444
Ligustrum japonicum,N,vs random,0.9777777777777777
Ligustrum japonicum,N,vs co-occurring,0.9550000000000001
Physostegia purpurea,delta,vs random,0.814375
Physostegia purpurea,delta,vs co-occurring,0.579375
Physostegia purpurea,delta_local,vs random,0.941875
Physostegia purpurea,delta_local,vs co-occurring,0.570625
Physostegia purpurea,N,vs random,0.9868750000000001
Physostegia purpurea,N,vs co-occurring,0.8784375
Keckiella rothrockii,delta,vs random,0.9249999999999999
Keckiella rothrockii,delta,vs co-occurring,0.7224999999999999
Keckiella rothrockii,delta_local,vs random,0.8283333333333333
Keckiella rothrockii,delta_local,vs co-occurring,0.57375
Keckiella rothrockii,N,vs random,0.8291666666666666
Keckiella rothrockii,N,vs co-occurring,0.6508333333333333
Cirsium remotifolium,delta,vs random,0.9691666666666667
Cirsium remotifolium,delta,vs co-occurring,0.9216666666666667
Cirsium remotifolium,delta_local,vs random,0.9950000000000001
Cirsium remotifolium,delta_local,vs co-occurring,0.9500000000000001
Cirsium remotifolium,N,vs random,0.9987499999999999
Cirsium remotifolium,N,vs co-occurring,0.9766666666666667
Tiedemannia filiformis,delta,vs random,0.9325
Tiedemannia filiformis,delta,vs co-occurring,0.76025
Tiedemannia filiformis,delta_local,vs random,0.9804999999999999
Tiedemannia filiformis,delta_local,vs co-occurring,0.7530000000000001
Tiedemannia filiformis,N,vs random,0.994
Tiedemannia filiformis,N,vs co-occurring,0.9392499999999999
Salix exigua,delta,vs random,0.9316666666666668
Salix exigua,delta,vs co-occurring,0.8825
Salix exigua,delta_local,vs random,0.9733333333333334
Salix exigua,delta_local,vs co-occurring,0.9441666666666666
Salix exigua,N,vs random,0.9991666666666666
Salix exigua,N,vs co-occurring,0.99375
Aralia racemosa,delta,vs random,0.8955357142857143
Aralia racemosa,delta,vs co-occurring,0.7798214285714284
Aralia racemosa,delta_local,vs random,0.9248214285714286
Aralia racemosa,delta_local,vs co-occurring,0.7544642857142858
Aralia racemosa,N,vs random,0.9591071428571428
Aralia racemosa,N,vs co-occurring,0.8653571428571429
Lysimachia clethroides,delta,vs random,0.9236372180451128
Lysimachia clethroides,delta,vs co-occurring,0.8627604166666667
Lysimachia clethroides,delta_local,vs random,0.9354767126148706
Lysimachia clethroides,delta_local,vs co-occurring,0.849609375
Lysimachia clethroides,N,vs random,0.9678362573099416
Lysimachia clethroides,N,vs co-occurring,0.9384765625
Spergularia rubra,delta,vs random,0.9217857142857143
Spergularia rubra,delta,vs co-occurring,0.8621428571428572
Spergularia rubra,delta_local,vs random,0.9542857142857144
Spergularia rubra,delta_local,vs co-occurring,0.9010714285714285
Spergularia rubra,N,vs random,0.966607142857143
Spergularia rubra,N,vs co-occurring,0.9189285714285714
Solanum umbelliferum,delta,vs random,0.8861111111111112
Solanum umbelliferum,delta,vs co-occurring,0.8152777777777778
Solanum umbelliferum,delta_local,vs random,0.9577777777777778
Solanum umbelliferum,delta_local,vs co-occurring,0.7847222222222222
Solanum umbelliferum,N,vs random,0.9861111111111112
Solanum umbelliferum,N,vs co-occurring,0.9322222222222222
Rosa blanda,delta,vs random,0.9051250000000001
Rosa blanda,delta,vs co-occurring,0.7404999999999999
Rosa blanda,delta_local,vs random,0.954625
Rosa blanda,delta_local,vs co-occurring,0.782375
Rosa blanda,N,vs random,0.9763124999999999
Rosa blanda,N,vs co-occurring,0.8646875
Penstemon eatonii,delta,vs random,0.9275
Penstemon eatonii,delta,vs co-occurring,0.8791666666666667
Penstemon eatonii,delta_local,vs random,0.9925
Penstemon eatonii,delta_local,vs co-occurring,0.9266666666666666
Penstemon eatonii,N,vs random,0.98125
Penstemon eatonii,N,vs co-occurring,0.85375
Ribes americanum,delta,vs random,0.86875
Ribes americanum,delta,vs co-occurring,0.75875
Ribes americanum,delta_local,vs random,0.92
Ribes americanum,delta_local,vs co-occurring,0.7275
Ribes americanum,N,vs random,0.9950000000000001
Ribes americanum,N,vs co-occurring,0.968125
Brickellia desertorum,delta,vs random,0.8274999999999999
Brickellia desertorum,delta,vs co-occurring,0.6900000000000001
Brickellia desertorum,delta_local,vs random,0.9825
Brickellia desertorum,delta_local,vs co-occurring,0.8112499999999999
Brickellia desertorum,N,vs random,0.99875
Brickellia desertorum,N,vs co-occurring,0.98
Eurybia schreberi,delta,vs random,0.8075
Eurybia schreberi,delta,vs co-occurring,0.58125
Eurybia schreberi,delta_local,vs random,0.8925
Eurybia schreberi,delta_local,vs co-occurring,0.655
Eurybia schreberi,N,vs random,0.9899999999999999
Eurybia schreberi,N,vs co-occurring,0.9281250000000001
Perideridia gairdneri,delta,vs random,0.9335839598997494
Perideridia gairdneri,delta,vs co-occurring,0.8634374999999999
Perideridia gairdneri,delta_local,vs random,0.9855889724310777
Perideridia gairdneri,delta_local,vs co-occurring,0.8887499999999999
Perideridia gairdneri,N,vs random,0.9929511278195489
Perideridia gairdneri,N,vs co-occurring,0.95140625
Berberis trifoliolata,delta,vs random,0.9663444325098461
Berberis trifoliolata,delta,vs co-occurring,0.9107142857142858
Berberis trifoliolata,delta_local,vs random,0.9813820264948084
Berberis trifoliolata,delta_local,vs co-occurring,0.9314285714285714
Berberis trifoliolata,N,vs random,0.9897959183673469
Berberis trifoliolata,N,vs co-occurring,0.9767857142857143
Frasera albicaulis,delta,vs random,0.8953125
Frasera albicaulis,delta,vs co-occurring,0.780625
Frasera albicaulis,delta_local,vs random,0.9875
Frasera albicaulis,delta_local,vs co-occurring,0.8165625000000001
Frasera albicaulis,N,vs random,0.9968750000000001
Frasera albicaulis,N,vs co-occurring,0.94515625
Jacobaea vulgaris,delta,vs random,0.8592212237911854
Jacobaea vulgaris,delta,vs co-occurring,0.7076219512195122
Jacobaea vulgaris,delta_local,vs random,0.956293171954276
Jacobaea vulgaris,delta_local,vs co-occurring,0.671829268292683
Jacobaea vulgaris,N,vs random,0.9765572467754753
Jacobaea vulgaris,N,vs co-occurring,0.8429573170731708
Iris savannarum,delta,vs random,0.8312499999999999
Iris savannarum,delta,vs co-occurring,0.619375
Iris savannarum,delta_local,vs random,0.949375
Iris savannarum,delta_local,vs co-occurring,0.685
Iris savannarum,N,vs random,0.965
Iris savannarum,N,vs co-occurring,0.7459375
Hexasepalum teres,delta,vs random,0.9355263157894737
Hexasepalum teres,delta,vs co-occurring,0.8810526315789473
Hexasepalum teres,delta_local,vs random,0.9340131578947368
Hexasepalum teres,delta_local,vs co-occurring,0.8990789473684211
Hexasepalum teres,N,vs random,0.9442105263157894
Hexasepalum teres,N,vs co-occurring,0.8992105263157895
Trifolium arvense,delta,vs random,0.9313461538461539
Trifolium arvense,delta,vs co-occurring,0.8955769230769232
Trifolium arvense,delta_local,vs random,0.936923076923077
Trifolium arvense,delta_local,vs co-occurring,0.8994230769230769
Trifolium arvense,N,vs random,0.9596153846153846
Trifolium arvense,N,vs co-occurring,0.946923076923077
Callirhoe leiocarpa,delta,vs random,0.7491666666666666
Callirhoe leiocarpa,delta,vs co-occurring,0.5241666666666667
Callirhoe leiocarpa,delta_local,vs random,0.925
Callirhoe leiocarpa,delta_local,vs co-occurring,0.6975
Callirhoe leiocarpa,N,vs random,0.9970833333333333
Callirhoe leiocarpa,N,vs co-occurring,0.995
Viburnum rafinesqueanum,delta,vs random,0.8956818181818181
Viburnum rafinesqueanum,delta,vs co-occurring,0.765
Viburnum rafinesqueanum,delta_local,vs random,0.9513636363636364
Viburnum rafinesqueanum,delta_local,vs co-occurring,0.8111363636363635
Viburnum rafinesqueanum,N,vs random,0.956931818181818
Viburnum rafinesqueanum,N,vs co-occurring,0.8230681818181818
Achyronychia cooperi,delta,vs random,0.979375
Achyronychia cooperi,delta,vs co-occurring,0.9025
Achyronychia cooperi,delta_local,vs random,0.996875
Achyronychia cooperi,delta_local,vs co-occurring,0.8687499999999999
Achyronychia cooperi,N,vs random,0.9999999999999999
Achyronychia cooperi,N,vs co-occurring,0.9959375
Polygonatum biflorum,delta,vs random,0.610625
Polygonatum biflorum,delta,vs co-occurring,0.5147727272727273
Polygonatum biflorum,delta_local,vs random,0.7001136363636363
Polygonatum biflorum,delta_local,vs co-occurring,0.4781818181818182
Polygonatum biflorum,N,vs random,0.7578977272727272
Polygonatum biflorum,N,vs co-occurring,0.5471022727272727
Amelanchier laevis,delta,vs random,0.6579166666666667
Amelanchier laevis,delta,vs co-occurring,0.4766666666666667
Amelanchier laevis,delta_local,vs random,0.5266666666666666
Amelanchier laevis,delta_local,vs co-occurring,0.195
Amelanchier laevis,N,vs random,0.5512499999999999
Amelanchier laevis,N,vs co-occurring,0.26999999999999996
Sonchus arvensis,delta,vs random,0.9128521126760564
Sonchus arvensis,delta,vs co-occurring,0.812887323943662
Sonchus arvensis,delta_local,vs random,0.9232746478873239
Sonchus arvensis,delta_local,vs co-occurring,0.7884507042253521
Sonchus arvensis,N,vs random,0.9369542253521127
Sonchus arvensis,N,vs co-occurring,0.8407746478873239
Lupinus albifrons,delta,vs random,0.8663888888888889
Lupinus albifrons,delta,vs co-occurring,0.7913888888888888
Lupinus albifrons,delta_local,vs random,0.9309722222222222
Lupinus albifrons,delta_local,vs co-occurring,0.7266666666666666
Lupinus albifrons,N,vs random,0.9501388888888889
Lupinus albifrons,N,vs co-occurring,0.8716666666666666
Solidago odora,delta,vs random,0.9477615607646568
Solidago odora,delta,vs co-occurring,0.8721568627450981
Solidago odora,delta_local,vs random,0.9448130129244681
Solidago odora,delta_local,vs co-occurring,0.848235294117647
Solidago odora,N,vs random,0.9589169000933706
Solidago odora,N,vs co-occurring,0.9004901960784314
Sanicula crassicaulis,delta,vs random,0.8238749999999999
Sanicula crassicaulis,delta,vs co-occurring,0.749625
Sanicula crassicaulis,delta_local,vs random,0.9220625
Sanicula crassicaulis,delta_local,vs co-occurring,0.761375
Sanicula crassicaulis,N,vs random,0.9106875
Sanicula crassicaulis,N,vs co-occurring,0.7227499999999999
Packera paupercula,delta,vs random,0.8902083333333334
Packera paupercula,delta,vs co-occurring,0.7520833333333333
Packera paupercula,delta_local,vs random,0.93875
Packera paupercula,delta_local,vs co-occurring,0.8022916666666666
Packera paupercula,N,vs random,0.961875
Packera paupercula,N,vs co-occurring,0.8848958333333333
Ligustrum vulgare,delta,vs random,0.8603326498063341
Ligustrum vulgare,delta,vs co-occurring,0.8059090909090909
Ligustrum vulgare,delta_local,vs random,0.8441558441558441
Ligustrum vulgare,delta_local,vs co-occurring,0.7361363636363637
Ligustrum vulgare,N,vs random,0.9921394395078607
Ligustrum vulgare,N,vs co-occurring,0.9909090909090909
Medicago lupulina,delta,vs random,0.8545918367346939
Medicago lupulina,delta,vs co-occurring,0.8096173469387754
Medicago lupulina,delta_local,vs random,0.8594132653061225
Medicago lupulina,delta_local,vs co-occurring,0.8124234693877551
Medicago lupulina,N,vs random,0.8660969387755102
Medicago lupulina,N,vs co-occurring,0.8272193877551021
Arctostaphylos manzanita,delta,vs random,0.9383928571428571
Arctostaphylos manzanita,delta,vs co-occurring,0.8564285714285714
Arctostaphylos manzanita,delta_local,vs random,0.9828571428571429
Arctostaphylos manzanita,delta_local,vs co-occurring,0.8226785714285714
Arctostaphylos manzanita,N,vs random,0.9965178571428572
Arctostaphylos manzanita,N,vs co-occurring,0.9749107142857143
Hypericum galioides,delta,vs random,0.9075
Hypericum galioides,delta,vs co-occurring,0.60375
Hypericum galioides,delta_local,vs random,0.96875
Hypericum galioides,delta_local,vs co-occurring,0.47875
Hypericum galioides,N,vs random,0.9974999999999999
Hypericum galioides,N,vs co-occurring,0.95125
Rosa acicularis,delta,vs random,0.8184935897435897
Rosa acicularis,delta,vs co-occurring,0.6023717948717948
Rosa acicularis,delta_local,vs random,0.8517307692307692
Rosa acicularis,delta_local,vs co-occurring,0.5501923076923076
Rosa acicularis,N,vs random,0.8505128205128205
Rosa acicularis,N,vs co-occurring,0.5384294871794872
Platanthera integrilabia,delta,vs random,0.9958333333333333
Platanthera integrilabia,delta,vs co-occurring,0.9825
Platanthera integrilabia,delta_local,vs random,0.9991666666666668
Platanthera integrilabia,delta_local,vs co-occurring,0.9558333333333333
Platanthera integrilabia,N,vs random,0.9983333333333333
Platanthera integrilabia,N,vs co-occurring,0.9383333333333334
Hedeoma pulegioides,delta,vs random,0.5703947368421052
Hedeoma pulegioides,delta,vs co-occurring,0.3901315789473684
Hedeoma pulegioides,delta_local,vs random,0.6844736842105263
Hedeoma pulegioides,delta_local,vs co-occurring,0.31934210526315787
Hedeoma pulegioides,N,vs random,0.7064473684210526
Hedeoma pulegioides,N,vs co-occurring,0.4027631578947368
Lonicera caerulea,delta,vs random,0.8459342801448064
Lonicera caerulea,delta,vs co-occurring,0.7036805555555555
Lonicera caerulea,delta_local,vs random,0.6121553884711779
Lonicera caerulea,delta_local,vs co-occurring,0.17833333333333334
Lonicera caerulea,N,vs random,0.612538290169869
Lonicera caerulea,N,vs co-occurring,0.20451388888888888
Cydonia oblonga,delta,vs random,0.38375000000000004
Cydonia oblonga,delta,vs co-occurring,0.21625
Cydonia oblonga,delta_local,vs random,0.73125
Cydonia oblonga,delta_local,vs co-occurring,0.21125
Cydonia oblonga,N,vs random,0.8893749999999999
Cydonia oblonga,N,vs co-occurring,0.709375
Vicia benghalensis,delta,vs random,0.8538928571428571
Vicia benghalensis,delta,vs co-occurring,0.7408214285714285
Vicia benghalensis,delta_local,vs random,0.819232142857143
Vicia benghalensis,delta_local,vs co-occurring,0.5794999999999999
Vicia benghalensis,N,vs random,0.826625
Vicia benghalensis,N,vs co-occurring,0.6324642857142857
Gaillardia pinnatifida,delta,vs random,0.8738888888888889
Gaillardia pinnatifida,delta,vs co-occurring,0.7597222222222223
Gaillardia pinnatifida,delta_local,vs random,0.9819444444444445
Gaillardia pinnatifida,delta_local,vs co-occurring,0.9225
Gaillardia pinnatifida,N,vs random,0.99875
Gaillardia pinnatifida,N,vs co-occurring,0.9920833333333333
Castanea dentata,delta,vs random,0.812891604010025
Castanea dentata,delta,vs co-occurring,0.71609375
Castanea dentata,delta_local,vs random,0.8848684210526316
Castanea dentata,delta_local,vs co-occurring,0.7150000000000001
Castanea dentata,N,vs random,0.9401629072681704
Castanea dentata,N,vs co-occurring,0.862578125
Medeola virginiana,delta,vs random,0.7925
Medeola virginiana,delta,vs co-occurring,0.6174999999999999
Medeola virginiana,delta_local,vs random,0.8762500000000001
Medeola virginiana,delta_local,vs co-occurring,0.61875
Medeola virginiana,N,vs random,0.9775
Medeola virginiana,N,vs co-occurring,0.9400000000000001
Desmodium canadense,delta,vs random,0.8053362048336923
Desmodium canadense,delta,vs co-occurring,0.7120238095238095
Desmodium canadense,delta_local,vs random,0.8347391720507298
Desmodium canadense,delta_local,vs co-occurring,0.6450595238095239
Desmodium canadense,N,vs random,0.8709320411581718
Desmodium canadense,N,vs co-occurring,0.7252380952380952
Eurybia divaricata,delta,vs random,0.944250160284432
Eurybia divaricata,delta,vs co-occurring,0.8839825581395349
Eurybia divaricata,delta_local,vs random,0.9592877542693943
Eurybia divaricata,delta_local,vs co-occurring,0.8822674418604651
Eurybia divaricata,N,vs random,0.9609197412134989
Eurybia divaricata,N,vs co-occurring,0.9053052325581395
Symphyotrichum firmum,delta,vs random,0.9375712007290954
Symphyotrichum firmum,delta,vs co-occurring,0.8590909090909091
Symphyotrichum firmum,delta_local,vs random,0.9110275689223057
Symphyotrichum firmum,delta_local,vs co-occurring,0.7847727272727274
Symphyotrichum firmum,N,vs random,0.9308498519024835
Symphyotrichum firmum,N,vs co-occurring,0.8635227272727273
Conium maculatum,delta,vs random,0.8705722607052898
Conium maculatum,delta,vs co-occurring,0.8616015625
Conium maculatum,delta_local,vs random,0.8745277078085643
Conium maculatum,delta_local,vs co-occurring,0.8468749999999999
Conium maculatum,N,vs random,0.9307501574307305
Conium maculatum,N,vs co-occurring,0.9197656250000001
Allium geyeri,delta,vs random,0.9725
Allium geyeri,delta,vs co-occurring,0.93375
Allium geyeri,delta_local,vs random,0.9975
Allium geyeri,delta_local,vs co-occurring,0.97875
Allium geyeri,N,vs random,1.0
Allium geyeri,N,vs co-occurring,1.0
Lycium cooperi,delta,vs random,0.8978125
Lycium cooperi,delta,vs co-occurring,0.7903125
Lycium cooperi,delta_local,vs random,0.9834375
Lycium cooperi,delta_local,vs co-occurring,0.8259375
Lycium cooperi,N,vs random,0.9974999999999999
Lycium cooperi,N,vs co-occurring,0.96609375
Brassica tournefortii,delta,vs random,0.9305357142857144
Brassica tournefortii,delta,vs co-occurring,0.88875
Brassica tournefortii,delta_local,vs random,0.9673214285714286
Brassica tournefortii,delta_local,vs co-occurring,0.8614285714285714
Brassica tournefortii,N,vs random,0.9980357142857144
Brassica tournefortii,N,vs co-occurring,0.9777678571428571
Salix discolor,delta,vs random,0.8505457598656591
Salix discolor,delta,vs co-occurring,0.7594230769230769
Salix discolor,delta_local,vs random,0.9420654911838791
Salix discolor,delta_local,vs co-occurring,0.7964102564102564
Salix discolor,N,vs random,0.9707743977265387
Salix discolor,N,vs co-occurring,0.8932692307692308
Forestiera segregata,delta,vs random,0.9787499999999999
Forestiera segregata,delta,vs co-occurring,0.8400000000000001
Forestiera segregata,delta_local,vs random,1.0
Forestiera segregata,delta_local,vs co-occurring,0.9812500000000001
Forestiera segregata,N,vs random,0.99875
Forestiera segregata,N,vs co-occurring,0.985
Stachys stebbinsii,delta,vs random,0.9153571428571429
Stachys stebbinsii,delta,vs co-occurring,0.7889285714285713
Stachys stebbinsii,delta_local,vs random,0.9757142857142858
Stachys stebbinsii,delta_local,vs co-occurring,0.7317857142857144
Stachys stebbinsii,N,vs random,0.9941071428571429
Stachys stebbinsii,N,vs co-occurring,0.9358928571428571
