plant,degree,genus_seen,r10_rank_n,hit_rank_n,r10_rank_tax,hit_rank_tax,r10_rank_n_tax,hit_rank_n_tax,r10_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_rank_full_tax,hit_rank_full_tax,r10_hyb_n_tax,hit_hyb_n_tax,r10_hyb_n_ldelta,hit_hyb_n_ldelta,r10_hyb_n_tax_ldelta,hit_hyb_n_tax_ldelta
Collinsia verna,25,True,0.0,0.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0
Colocasia esculenta,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comarum palustre,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Commelina diffusa,3,True,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Comptonia peregrina,5,False,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.2,1.0
Conium maculatum,64,False,0.0625,1.0,0.015625,1.0,0.09375,1.0,0.09375,1.0,0.109375,1.0,0.0625,1.0,0.0625,1.0,0.0625,1.0
Cordylanthus rigidus,10,True,0.1,1.0,0.3,1.0,0.3,1.0,0.3,1.0,0.3,1.0,0.2,1.0,0.1,1.0,0.1,1.0
Coreopsis leavenworthii,15,True,0.13333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.2,1.0,0.13333333333333333,1.0,0.26666666666666666,1.0
Cornus foemina,5,True,0.2,1.0,0.4,1.0,0.4,1.0,0.4,1.0,0.4,1.0,0.2,1.0,0.2,1.0,0.2,1.0
Corydalis aurea,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crataegus crus-galli,19,True,0.05263157894736842,1.0,0.15789473684210525,1.0,0.15789473684210525,1.0,0.15789473684210525,1.0,0.15789473684210525,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0
Crotalaria rotundifolia,2,True,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Croton michauxii,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cucumis melo,23,False,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cydonia oblonga,2,False,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cylindropuntia echinocarpa,6,True,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
Cynoglossum officinale,33,False,0.030303030303030304,1.0,0.12121212121212122,1.0,0.21212121212121213,1.0,0.21212121212121213,1.0,0.2727272727272727,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0
Delphinium treleasei,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delphinium variegatum,3,True,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Desmodium canadense,42,True,0.09523809523809523,1.0,0.09523809523809523,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.11904761904761904,1.0,0.11904761904761904,1.0,0.11904761904761904,1.0
Desmodium sessilifolium,14,True,0.0,0.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diapensia lapponica,8,False,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dicentra eximia,12,True,0.08333333333333333,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5833333333333334,1.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0
Dichanthelium clandestinum,5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.2,1.0
Dichelostemma volubile,1,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dieteria canescens,17,False,0.0,0.0,0.23529411764705882,1.0,0.23529411764705882,1.0,0.23529411764705882,1.0,0.23529411764705882,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0
Diodia virginiana,3,False,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Diospyros virginiana,22,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplacus aurantiacus,9,True,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0
Diplacus brevipes,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
Dipterostemon capitatus,15,False,0.13333333333333333,1.0,0.06666666666666667,1.0,0.13333333333333333,1.0,0.06666666666666667,1.0,0.0,0.0,0.13333333333333333,1.0,0.13333333333333333,1.0,0.13333333333333333,1.0
Dithyrea californica,1,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Draba verna,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dryas hookeriana,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dudleya edulis,6,True,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
Dysphania ambrosioides,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Echinocereus fendleri,1,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
