plant,pollinator
Cirsium arvense,Polygonia c-album
Cirsium arvense,Polygonia faunus
Cirsium arvense,Polygonia gracilis
Cirsium arvense,Polygonia satyrus
Cirsium arvense,Polyommatus icarus
Cirsium arvense,Pyrgus communis
Cirsium arvense,Pyrophaena granditarsa
Cirsium arvense,Saltella sphondylii
Cirsium arvense,Sarcophaga subvicina
Cirsium arvense,Satyrium behrii
Cirsium arvense,Satyrium liparops
Cirsium arvense,Scathophaga stercoraria
Cirsium arvense,Sceliphron caementarium
Cirsium arvense,Siphona pauciseta
Cirsium arvense,Speyeria aphrodite
Cirsium arvense,Speyeria atlantis
Cirsium arvense,Speyeria callippe
Cirsium arvense,Speyeria coronis
Cirsium arvense,Speyeria cybele
Cirsium arvense,Speyeria edwardsii
Cirsium arvense,Speyeria mormonia
Cirsium arvense,Speyeria zerene
Cirsium arvense,Strymon saepium
Cirsium arvense,Strymon sylvinus
Cirsium arvense,Syrphus opinator
Cirsium arvense,Syrphus ribesii
Cirsium arvense,Syrphus torvus
Cirsium arvense,Syrphus vitripennis
Cirsium arvense,Terellia occidentalis
Cirsium arvense,Terellia ruficauda
Cirsium arvense,Trichodes apiarius
Cirsium arvense,Tyria jacobaeae
Cirsium arvense,Tyta luctuosa
Cirsium arvense,Urophora stylata
Cirsium arvense,Vespula germanica
Cirsium arvense,Xestia c-nigrum
Cirsium arvense,Xestia xanthographa
Cirsium arvense,Xylota segnis
Cirsium cymosum,Bombus appositus
Cirsium discolor,Atalopedes campestris
Cirsium discolor,Augochlorella aurata
Cirsium discolor,Chauliognathus marginatus
Cirsium discolor,Colias philodice
Cirsium discolor,Colletes eulophi
Cirsium discolor,Diabrotica longicornis
Cirsium discolor,Exoprosopa fasciata
Cirsium discolor,Halictus ligatus
Cirsium discolor,Hyles lineata
Cirsium discolor,Lasioglossum imitatum
Cirsium discolor,Lasioglossum pruinosum
Cirsium discolor,Lasioglossum versatum
Cirsium discolor,Melissodes agilis
Cirsium discolor,Melissodes communis
Cirsium discolor,Melitoma taurea
Cirsium discolor,Polites coras
Cirsium discolor,Scolia bicincta
Cirsium discolor,Speyeria cybele
Cirsium discolor,Speyeria idalia
Cirsium discolor,Svastra obliqua
Cirsium discolor,Systoechus vulgaris
Cirsium discolor,Triepeolus concavus
Cirsium horridulum,Halictus ligatus
Cirsium horridulum,Lasioglossum nymphale
Cirsium horridulum,Lasioglossum pectorale
Cirsium horridulum,Megachile pseudobrevis
Cirsium neomexicanum,Cynanthus latirostris
Cirsium neomexicanum,Papilio multicaudata
Cirsium palustre,Apis mellifera
Cirsium palustre,Bombus
Cirsium palustre,Bombus bohemicus
Cirsium palustre,Bombus hypnorum
Cirsium palustre,Bombus lapidarius
Cirsium palustre,Episyrphus balteatus
Cirsium palustre,Eristalis arbustorum
Cirsium palustre,Eristalis tenax
Cirsium palustre,Helophilus hybridus
Cirsium palustre,Musca autumnalis
Cirsium palustre,Pieris napi
Cirsium palustre,Polyommatus icarus
Cirsium palustre,Rhagonycha fulva
Cirsium palustre,Scathophaga stercoraria
Cirsium parryi,Danaus plexippus
Cirsium pumilum,Bombus pensylvanicus
Cirsium pumilum,Lasioglossum pectorale
Cirsium pumilum,Megachile montivaga
Cirsium pumilum,Megachile pugnata
Cirsium pumilum,Papilio cresphontes
Cirsium pumilum,Polites coras
Cirsium pumilum,Speyeria cybele
Cirsium pumilum,Speyeria idalia
Cirsium pumilum,Thorybes daunus
Cirsium pumilum,Trichiotinus affinis
Cirsium pumilum,Typocerus sinuatus
Cirsium scariosum,Aglais milberti
Cirsium scariosum,Hesperia uncas
Cirsium scariosum,Occidryas anicia
Cirsium scariosum,Plebejus saepiolus
Cirsium scariosum,Polites mystic
Cirsium scariosum,Speyeria callippe
Cirsium scariosum,Speyeria zerene
Cirsium undulatum,Atrytone delaware
Cirsium undulatum,Bombus frigidus
Cirsium undulatum,Cercyonis pegala
Cirsium undulatum,Hesperia leonardus
Cirsium undulatum,Hesperia ottoe
Cirsium undulatum,Hesperia pahaska
Cirsium undulatum,Hesperia uncas
Cirsium undulatum,Hesperia viridis
Cirsium undulatum,Ochlodes snowi
Cirsium undulatum,Papilio polyxenes
Cirsium undulatum,Polites mystic
Cirsium undulatum,Polites origenes
Cirsium undulatum,Pontia protodice
Cirsium undulatum,Speyeria aphrodite
Cirsium undulatum,Speyeria callippe
Cirsium undulatum,Speyeria edwardsii
Cirsium undulatum,Speyeria idalia
Cistus creticus,Colias croceus
Cistus creticus,Eristalis tenax
Cistus creticus,Euphydryas aurinia
Cistus creticus,Hylaeus punctatus
Cistus creticus,Limenitis reducta
Cistus creticus,Papilio machaon
Cistus creticus,Polistes dominula
Cistus creticus,Vanessa atalanta
Cistus creticus,Vanessa cardui
Cistus salviifolius,Anthrenus verbasci
Cistus salviifolius,Apis mellifera
Cistus salviifolius,Episyrphus balteatus
Cistus salviifolius,Eristalinus aeneus
Cistus salviifolius,Eristalinus taeniops
Cistus salviifolius,Eristalis arbustorum
Cistus salviifolius,Eristalis tenax
Cistus salviifolius,Eupeodes latifasciatus
Cistus salviifolius,Lasioglossum leucozonium
Cistus salviifolius,Linepithema humile
Cistus salviifolius,Lycaena phlaeas
Cistus salviifolius,Myathropa florea
Cistus salviifolius,Polistes dominula
Cistus salviifolius,Syritta pipiens
Cistus salviifolius,Valgus hemipterus
Cistus salviifolius,Vanessa cardui
Citrus trifoliata,Apis mellifera
Citrus trifoliata,Eristalis tenax
Citrus trifoliata,Vespa crabro
Citrus trifoliata,Vespa velutina
Cladrastis kentukea,Bombus impatiens
Clarkia amoena,Osmia atrocyanea
Clarkia rubicunda,Acmaeodera labyrinthica
Clarkia xantiana,Megachile pascoensis
Claytonia lanceolata,Callophrys affinis
Claytonia lanceolata,Eupeodes volucris
Claytonia lanceolata,Halictus confusus
Claytonia lanceolata,Halictus rubicundus
Claytonia lanceolata,Halictus virgatellus
Claytonia lanceolata,Osmia coloradensis
Claytonia lanceolata,Osmia lignaria
Claytonia perfoliata,Hylaeus punctatus
Claytonia rosea,Aglais milberti
Claytonia rosea,Anaea andria
Claytonia rosea,Anthocharis midea
Claytonia rosea,Celastrina humulus
Claytonia rosea,Erynnis brizo
Claytonia rosea,Erynnis icelus
Claytonia rosea,Erynnis juvenalis
Claytonia rosea,Erynnis persius
Claytonia rosea,Erynnis telemachus
Claytonia rosea,Glaucopsyche lygdamus
Claytonia rosea,Pontia sisymbrii
Claytonia rosea,Pyrgus centaureae
Claytonia rosea,Thecla sheridanii
Claytonia sibirica,Bombus hypnorum
Claytonia sibirica,Episyrphus balteatus
Claytonia sibirica,Oscinella frit
Claytonia sibirica,Scathophaga stercoraria
Claytonia virginica,Agapostemon sericeus
Claytonia virginica,Agapostemon splendens
Claytonia virginica,Allograpta obliqua
Claytonia virginica,Andrena arabis
Claytonia virginica,Andrena erythrogaster
Claytonia virginica,Andrena erythronii
Claytonia virginica,Andrena frigida
Claytonia virginica,Andrena hippotes
Claytonia virginica,Andrena illini
Claytonia virginica,Andrena mandibularis
Claytonia virginica,Andrena perplexa
Claytonia virginica,Andrena personata
Claytonia virginica,Andrena pruni
Claytonia virginica,Andrena spiraeana
Claytonia virginica,Augochlorella aurata
Claytonia virginica,Bithoracochaeta leucoprocta
Claytonia virginica,Bombus auricomus
Claytonia virginica,Bombus pensylvanicus
Claytonia virginica,Bombus vagans
Claytonia virginica,Calliphora vicina
Claytonia virginica,Ceratina dupla
Claytonia virginica,Ceratina tejonensis
Claytonia virginica,Cynomya cadaverina
Claytonia virginica,Delia platura
Claytonia virginica,Elkalyce comyntas
Claytonia virginica,Eristalis stipator
Claytonia virginica,Halictus ligatus
Claytonia virginica,Lapposyrphus lapponicus
Claytonia virginica,Lasioglossum cinctipes
Claytonia virginica,Lasioglossum coriaceum
Claytonia virginica,Lasioglossum foxii
Claytonia virginica,Lasioglossum illinoense
Claytonia virginica,Lasioglossum imitatum
Claytonia virginica,Lasioglossum macoupinense
Claytonia virginica,Lasioglossum pectorale
Claytonia virginica,Lasioglossum truncatum
Claytonia virginica,Lasioglossum versatum
Claytonia virginica,Limnophora narona
Claytonia virginica,Myopa vesiculosa
Claytonia virginica,Nomada affabilis
Claytonia virginica,Nomada cressonii
Claytonia virginica,Nomada cuneata
Claytonia virginica,Nomada imbricata
Claytonia virginica,Nomada maculata
Claytonia virginica,Nomada obliterata
Claytonia virginica,Nomada sulphurata
Claytonia virginica,Osmia atriventris
Claytonia virginica,Osmia pumila
Claytonia virginica,Phormia regina
Claytonia virginica,Phyciodes tharos
Claytonia virginica,Pieris rapae
Claytonia virginica,Pontia protodice
Claytonia virginica,Prochyliza xanthostoma
Claytonia virginica,Ravinia derelicta
Claytonia virginica,Rhingia nasica
Claytonia virginica,Sargus viridis
Claytonia virginica,Scathophaga furcata
Claytonia virginica,Sphecodes dichrous
Claytonia virginica,Syritta pipiens
Claytonia virginica,Syrphus ribesii
Clematis ligusticifolia,Bombus perplexus
Clematis ligusticifolia,Halictus rubicundus
Clematis pitcheri,Bombus auricomus
Clematis pitcheri,Bombus pensylvanicus
Clematis pitcheri,Bombus vagans
Clematis virginiana,Agapostemon sericeus
Clematis virginiana,Ancistrocerus campestris
Clematis virginiana,Archytas aterrima
Clematis virginiana,Belvosia unifasciata
Clematis virginiana,Calliphora vicina
Clematis virginiana,Cochliomyia macellaria
Clematis virginiana,Fannia canicularis
Clematis virginiana,Graphomya americana
Clematis virginiana,Hylaeus affinis
Clematis virginiana,Isodontia apicalis
Clematis virginiana,Lasioglossum versatum
Clematis virginiana,Lestica confluenta
Clematis virginiana,Limnophora narona
Clematis virginiana,Musca domestica
Clematis virginiana,Nysson plagiatus
Clematis virginiana,Piophila casei
Clematis virginiana,Platycheirus quadratus
Clematis virginiana,Prochyliza xanthostoma
Clematis virginiana,Sceliphron caementarium
Clematis virginiana,Sphecodes dichrous
Clematis virginiana,Thecophora occidensis
Clematis vitalba,Apis mellifera
Clematis vitalba,Bombus
Clematis vitalba,Bombus lapidarius
Clematis vitalba,Brassicogethes aeneus
Clematis vitalba,Delia platura
Clematis vitalba,Episyrphus balteatus
Clematis vitalba,Eristalis nemorum
Clematis vitalba,Eristalis tenax
Clematis vitalba,Meliscaeva cinctella
Clematis vitalba,Minettia fasciata
Clematis vitalba,Rhagonycha fulva
Clematis vitalba,Syritta pipiens
Clematis vitalba,Syrphus ribesii
Clematis vitalba,Syrphus vitripennis
Cleomella serrulata,Bombus melanopygus
Cleomella serrulata,Cercyonis pegala
Cleomella serrulata,Colias philodice
Cleomella serrulata,Harkenclenus titus
Cleomella serrulata,Helophilus latifrons
Cleomella serrulata,Hesperia ottoe
Cleomella serrulata,Hesperia pahaska
Cleomella serrulata,Hesperia viridis
Cleomella serrulata,Lycaena rubidus
Cleomella serrulata,Oarisma garita
Cleomella serrulata,Papilio zelicaon
Cleomella serrulata,Pholisora mejicanus
Cleomella serrulata,Polites sabuleti
Cleomella serrulata,Pontia occidentalis
Cleomella serrulata,Pontia protodice
Cleomella serrulata,Speyeria aphrodite
Cleomella serrulata,Speyeria nokomis
Clethra alnifolia,Atlides halesus
Clethra alnifolia,Bombus melanopygus
Clethra alnifolia,Bombus occidentalis
Clethra alnifolia,Bombus vancouverensis
Clethra alnifolia,Thymelicus lineola
Clethra alnifolia,Vespula acadica
Clinopodium arkansanum,Apis mellifera
Clinopodium arkansanum,Augochlorella aurata
Clinopodium arkansanum,Ceratina strenua
Clinopodium arkansanum,Hoplitis truncata
Clinopodium ashei,Agapostemon splendens
Clinopodium ashei,Anthidiellum notatum
Clinopodium ashei,Anthidiellum perplexum
Clinopodium ashei,Augochlorella aurata
Clinopodium ashei,Augochloropsis sumptuosa
Clinopodium ashei,Bombus impatiens
Clinopodium ashei,Copestylum florida
Clinopodium ashei,Epeolus zonatus
Clinopodium ashei,Hoplitis truncata
Clinopodium ashei,Lasioglossum nymphale
Clinopodium ashei,Lasioglossum tegulare
Clinopodium ashei,Megachile exilis
Clinopodium ashei,Megachile georgica
Clinopodium ashei,Megachile petulans
Clinopodium ashei,Megachile pseudobrevis
Clinopodium ashei,Megachile rugifrons
Clinopodium ashei,Megachile texana
Clinopodium ashei,Osmia calaminthae
Clinopodium ashei,Systoechus solitus
Clinopodium vulgare,Apis mellifera
Clinopodium vulgare,Bombus lapidarius
Clinopodium vulgare,Celastrina argiolus
Clinopodium vulgare,Episyrphus balteatus
Clinopodium vulgare,Eristalis tenax
Clinopodium vulgare,Halictus rubicundus
Clinopodium vulgare,Helophilus hybridus
Clinopodium vulgare,Lapposyrphus lapponicus
Clinopodium vulgare,Pieris napi
Clinopodium vulgare,Syrphus vitripennis
Clinopodium vulgare,Vanessa atalanta
Clintonia borealis,Celastrina lucia
Collinsia heterophylla,Habropoda depressa
Collinsia parviflora,Pontia sisymbrii
Collinsia verna,Anthophora ursina
Collinsia verna,Bombus auricomus
Collinsia verna,Bombus impatiens
Collinsia verna,Bombus pensylvanicus
Collinsia verna,Bombylius major
Collinsia verna,Ceratina calcarata
Collinsia verna,Cerceris deserta
Collinsia verna,Erynnis brizo
Collinsia verna,Osmia atriventris
Collinsia verna,Osmia conjuncta
Collinsia verna,Osmia lignaria
Collinsia verna,Osmia pumila
Comandra umbellata,Andrena mariae
Comandra umbellata,Andrena miserabilis
Comandra umbellata,Bithoracochaeta leucoprocta
Comandra umbellata,Calliphora vicina
Comandra umbellata,Calliphora vomitoria
Comandra umbellata,Callophrys dumetorum
Comandra umbellata,Cynomya cadaverina
Comandra umbellata,Eristalis dimidiata
Comandra umbellata,Erynnis brizo
Comandra umbellata,Erynnis persius
Comandra umbellata,Euptoieta claudia
Comandra umbellata,Graphomya americana
Comandra umbellata,Halictus rubicundus
Comandra umbellata,Helophilus latifrons
Comandra umbellata,Lasioglossum albipenne
Comandra umbellata,Lasioglossum tegulare
Comandra umbellata,Lasioglossum versatum
Comandra umbellata,Limnophora narona
Comandra umbellata,Lucilia sericata
Comandra umbellata,Myospila meditabunda
Comandra umbellata,Nomada superba
Comandra umbellata,Odontomyia pubescens
Comandra umbellata,Osmia pumila
Comandra umbellata,Pherbellia parallela
Comandra umbellata,Phormia regina
Comandra umbellata,Sphecodes dichrous
Comandra umbellata,Syritta pipiens
Comandra umbellata,Tropidia mamillata
Comarum palustre,Aglais urticae
Comarum palustre,Apis mellifera
Comarum palustre,Boloria selene
Comarum palustre,Bombus
Comarum palustre,Bombus hypnorum
Comarum palustre,Bombus lapidarius
Comarum palustre,Celastrina argiolus
Comarum palustre,Colias croceus
Comarum palustre,Eristalis arbustorum
Comarum palustre,Eurimyia stipatus
Comarum palustre,Lycaena phlaeas
Comarum palustre,Merodon equestris
Comarum palustre,Polygonia c-album
Comarum palustre,Polyommatus icarus
Comarum palustre,Pyrophaena granditarsa
Comarum palustre,Syritta pipiens
Comarum palustre,Vanessa atalanta
Commelina benghalensis,Apis mellifera
Commelina communis,Bombus
Commelina communis,Episyrphus balteatus
Commelina erecta,Augochloropsis metallica
Commelina erecta,Augochloropsis sumptuosa
Commelina erecta,Heliopetes laviana
Commelina erecta,Lasioglossum nymphale
Commelina erecta,Megachile pseudobrevis
Commelina erecta,Syritta flaviventris
Conium maculatum,Adalia bipunctata
Conium maculatum,Ancistrocerus gazella
Conium maculatum,Andrena wilkella
Conium maculatum,Bombus
Conium maculatum,Botanophila fugax
Conium maculatum,Ceriana tridens
Conium maculatum,Chloromyia formosa
Conium maculatum,Drosophila busckii
Conium maculatum,Episyrphus balteatus
Conium maculatum,Glaucopsyche piasus
Conium maculatum,Hesperia viridis
Conium maculatum,Hylaeus annulatus
Conium maculatum,Hylaeus hyalinatus
Conium maculatum,Hylaeus leptocephalus
Conium maculatum,Hylaeus pictipes
Conium maculatum,Hylaeus punctatus
Conium maculatum,Incisalia eryphon
Conium maculatum,Limenitis archippus
Conium maculatum,Limenitis weidemeyerii
Conium maculatum,Lycaena heteronea
Conium maculatum,Rhagonycha fulva
Conium maculatum,Satyrium behrii
Conium maculatum,Speyeria atlantis
Conium maculatum,Syrphus ribesii
Conoclinium coelestinum,Ammophila nigricans
Conoclinium coelestinum,Augochlorella aurata
Conoclinium coelestinum,Ceratina dupla
Conoclinium coelestinum,Cerceris deserta
Conoclinium coelestinum,Lasioglossum imitatum
Conoclinium coelestinum,Polites coras
Conoclinium coelestinum,Stomoxys calcitrans
Conopholis alpina,Apis mellifera
Conradina grandiflora,Bombus pensylvanicus
Conradina verticillata,Anthophora abrupta
Conradina verticillata,Apis mellifera
Conradina verticillata,Augochlora pura
Conradina verticillata,Augochlorella aurata
Conradina verticillata,Augochloropsis metallica
Conradina verticillata,Bombus bimaculatus
Conradina verticillata,Bombus impatiens
Conradina verticillata,Bombus pensylvanicus
Conradina verticillata,Bombus vagans
Conradina verticillata,Ceratina calcarata
Conradina verticillata,Lasioglossum cinctipes
Conradina verticillata,Megachile mendica
Conradina verticillata,Osmia atriventris
Conradina verticillata,Osmia pumila
Conradina verticillata,Xylocopa virginica
Convolvulus arvensis,Bombus lapidarius
Convolvulus arvensis,Chelostoma campanularum
Convolvulus arvensis,Colias croceus
Convolvulus arvensis,Diadasia diminuta
Convolvulus arvensis,Dysstroma truncata
Convolvulus arvensis,Episyrphus balteatus
Convolvulus arvensis,Eristalinus aeneus
Convolvulus arvensis,Eristalis nemorum
Convolvulus arvensis,Eristalis tenax
Convolvulus arvensis,Eupeodes latifasciatus
Convolvulus arvensis,Glaucopsyche lygdamus
Convolvulus arvensis,Halictus rubicundus
Convolvulus arvensis,Lasioglossum leucozonium
Convolvulus arvensis,Mesapamea secalis
Convolvulus arvensis,Noctua comes
Convolvulus arvensis,Oarisma garita
Convolvulus arvensis,Oscinella frit
Convolvulus arvensis,Ostrinia nubilalis
Convolvulus arvensis,Polyommatus icarus
Convolvulus arvensis,Syritta pipiens
Convolvulus arvensis,Syrphus ribesii
Convolvulus arvensis,Syrphus vitripennis
Convolvulus arvensis,Tyta luctuosa
Convolvulus arvensis,Xestia c-nigrum
Convolvulus arvensis,Xestia xanthographa
Coreopsis lanceolata,Andrena beameri
Coreopsis lanceolata,Andrena helianthiformis
Coreopsis lanceolata,Aneflus protensus
Coreopsis lanceolata,Ashmeadiella bucconis
Coreopsis lanceolata,Augochlorella aurata
Coreopsis lanceolata,Ceratina dupla
Coreopsis lanceolata,Coelioxys sayi
Coreopsis lanceolata,Dianthidium curvatum
Coreopsis lanceolata,Elkalyce comyntas
Coreopsis lanceolata,Episyrphus balteatus
Coreopsis lanceolata,Geron vitripennis
Coreopsis lanceolata,Gymnoclytia occidua
Coreopsis lanceolata,Hemipenthes sinuosus
Coreopsis lanceolata,Heriades leavitti
Coreopsis lanceolata,Heriades truncorum
Coreopsis lanceolata,Hylaeus annulatus
Coreopsis lanceolata,Hylaeus hyalinatus
Coreopsis lanceolata,Hylaeus leptocephalus
Coreopsis lanceolata,Hylaeus pictipes
Coreopsis lanceolata,Hylaeus punctatus
Coreopsis lanceolata,Lasioglossum tegulare
Coreopsis lanceolata,Lithurgus chrysurus
Coreopsis lanceolata,Lon hobomok
Coreopsis lanceolata,Lycaena phlaeas
Coreopsis lanceolata,Megachile frugalis
Coreopsis lanceolata,Megachile mendica
Coreopsis lanceolata,Megachile petulans
Coreopsis lanceolata,Odontocorynus salebrosus
Coreopsis lanceolata,Osmia conjuncta
Coreopsis lanceolata,Papilio machaon
Coreopsis lanceolata,Pseudopanurgus albitarsis
Coreopsis lanceolata,Ptilothrix bombiformis
Coreopsis lanceolata,Speyeria cybele
Coreopsis lanceolata,Toxophora amphitea
Coreopsis lanceolata,Trichiotinus piger
Coreopsis palmata,Agapostemon sericeus
Coreopsis palmata,Ammophila nigricans
Coreopsis palmata,Ammophila pictipennis
Coreopsis palmata,Ammophila procera
Coreopsis palmata,Anagrapha falcifera
Coreopsis palmata,Andrena rudbeckiae
Coreopsis palmata,Anoplodonta nigrirostris
Coreopsis palmata,Anthidium maculifrons
Coreopsis palmata,Apis mellifera
Coreopsis palmata,Ashmeadiella bucconis
Coreopsis palmata,Augochlorella aurata
Coreopsis palmata,Bembix americana
Coreopsis palmata,Bicyrtes ventralis
Coreopsis palmata,Bombus pensylvanicus
Coreopsis palmata,Calliopsis andreniformis
Coreopsis palmata,Ceratina dupla
Coreopsis palmata,Coelioxys sayi
Coreopsis palmata,Epeolus bifasciatus
Coreopsis palmata,Epeolus interruptus
Coreopsis palmata,Epicauta cinerea
Coreopsis palmata,Eristalis flavipes
Coreopsis palmata,Eristalis stipator
Coreopsis palmata,Eristalis tenax
Coreopsis palmata,Eusiphona mira
Coreopsis palmata,Exoprosopa decora
Coreopsis palmata,Exoprosopa meigenii
Coreopsis palmata,Halictus ligatus
Coreopsis palmata,Halictus rubicundus
Coreopsis palmata,Helophilus latifrons
Coreopsis palmata,Heriades leavitti
Coreopsis palmata,Holcopasites illinoiensis
Coreopsis palmata,Hoplitis pilosifrons
Coreopsis palmata,Lasioglossum cinctipes
Coreopsis palmata,Lasioglossum foxii
Coreopsis palmata,Lasioglossum obscurum
Coreopsis palmata,Lasioglossum pectorale
Coreopsis palmata,Lasioglossum pruinosum
Coreopsis palmata,Lasioglossum tegulare
Coreopsis palmata,Lasioglossum versatum
Coreopsis palmata,Megachile addenda
Coreopsis palmata,Megachile brevis
Coreopsis palmata,Megachile mendica
Coreopsis palmata,Megachile montivaga
Coreopsis palmata,Megachile petulans
Coreopsis palmata,Megachile policaris
Coreopsis palmata,Megachile pugnata
Coreopsis palmata,Melissodes agilis
Coreopsis palmata,Melissodes boltoniae
Coreopsis palmata,Melissodes tepaneca
Coreopsis palmata,Melissodes trinodis
Coreopsis palmata,Mordella marginata
Coreopsis palmata,Nomada articulata
Coreopsis palmata,Nomada superba
Coreopsis palmata,Osmia georgica
Coreopsis palmata,Pholisora catullus
Coreopsis palmata,Phyciodes tharos
Coreopsis palmata,Physocephala tibialis
Coreopsis palmata,Pieris rapae
Coreopsis palmata,Pontia protodice
Coreopsis palmata,Prionyx atratus
Coreopsis palmata,Prionyx thomae
Coreopsis palmata,Pseudopanurgus albitarsis
Coreopsis palmata,Rhynchanthrax parvicornis
Coreopsis palmata,Speyeria cybele
Coreopsis palmata,Stelis lateralis
Coreopsis palmata,Stomoxys calcitrans
Coreopsis palmata,Syrphus ribesii
Coreopsis palmata,Systoechus vulgaris
Coreopsis palmata,Thecophora occidensis
Coreopsis palmata,Typocerus sinuatus
Coreopsis palmata,Vanessa virginiensis
Coreopsis palmata,Xeromelecta interrupta
Coreopsis palmata,Zodion fulvifrons
Coreopsis tinctoria,Halictus poeyi
Coreopsis tinctoria,Oarisma garita
Coreopsis tripteris,Ammophila nigricans
Coreopsis tripteris,Ammophila pictipennis
Coreopsis tripteris,Ammophila procera
Coreopsis tripteris,Andrena accepta
Coreopsis tripteris,Bicyrtes ventralis
Coreopsis tripteris,Bombus pensylvanicus
Coreopsis tripteris,Calliopsis coloradensis
Coreopsis tripteris,Ceratina dupla
Coreopsis tripteris,Epeolus pusillus
Coreopsis tripteris,Lasioglossum pectorale
Coreopsis tripteris,Lasioglossum tegulare
Coreopsis tripteris,Lasioglossum versatum
Coreopsis tripteris,Lepidophora lepidocera
Coreopsis tripteris,Megachile brevis
Coreopsis tripteris,Megachile montivaga
Coreopsis tripteris,Megachile petulans
Coreopsis tripteris,Melissodes agilis
Coreopsis tripteris,Melissodes trinodis
Coreopsis tripteris,Philanthus gibbosus
Coreopsis tripteris,Phyciodes tharos
Coreopsis tripteris,Poecilanthrax alcyon
Coreopsis tripteris,Scolia bicincta
Coreopsis tripteris,Svastra obliqua
Coreopsis tripteris,Systoechus vulgaris
Coreopsis tripteris,Trichopsomyia apisaon
Coreopsis tripteris,Triepeolus concavus
Coreopsis tripteris,Triepeolus donatus
Coreopsis tripteris,Triepeolus lunatus
Coreopsis tripteris,Zodion obliquefasciatum
Coreopsis verticillata,Heriades truncorum
Coreopsis verticillata,Nathalis iole
Coreopsis verticillata,Pyrgus communis
Coriandrum sativum,Ceratina calcarata
Coriandrum sativum,Coccinella septempunctata
Coriandrum sativum,Episyrphus balteatus
Coriandrum sativum,Eristalis tenax
Coriandrum sativum,Hylaeus annulatus
Coriandrum sativum,Hylaeus hyalinatus
Coriandrum sativum,Hylaeus leptocephalus
Coriandrum sativum,Hylaeus mesillae
Coriandrum sativum,Hylaeus pictipes
Coriandrum sativum,Hylaeus punctatus
Coriandrum sativum,Lasioglossum coriaceum
Coriandrum sativum,Lycaena phlaeas
Cornus alternifolia,Anthocomus equestris
Cornus amomum,Agapostemon sericeus
Cornus amomum,Allograpta obliqua
Cornus amomum,Ammophila nigricans
Cornus amomum,Andrena cressonii
Cornus amomum,Andrena heraclei
Cornus amomum,Andrena hippotes
Cornus amomum,Andrena imitatrix
Cornus amomum,Andrena miserabilis
Cornus amomum,Andrena platyparia
Cornus amomum,Anthomyia pluvialis
Cornus amomum,Archytas aterrima
Cornus amomum,Augochlorella aurata
Cornus amomum,Belvosia bifasciata
Cornus amomum,Bombus pensylvanicus
Cornus amomum,Calliphora vicina
Cornus amomum,Ceratina dupla
Cornus amomum,Cerceris finitima
Cornus amomum,Eristalis dimidiata
Cornus amomum,Eristalis stipator
Cornus amomum,Eristalis transversa
Cornus amomum,Eucera rosae
Cornus amomum,Halictus ligatus
Cornus amomum,Halictus parallelus
Cornus amomum,Hylaeus illinoisensis
Cornus amomum,Isodontia apicalis
Cornus amomum,Lasioglossum pectorale
Cornus amomum,Lasioglossum pruinosum
Cornus amomum,Lasioglossum tegulare
Cornus amomum,Lasioglossum versatum
Cornus amomum,Lestica confluenta
Cornus amomum,Lucilia sericata
Cornus amomum,Myolepta nigra
Cornus amomum,Nomada affabilis
Cornus amomum,Orthonevra nitida
Cornus amomum,Orthonevra pictipennis
Cornus amomum,Oxybelus emarginatus
Cornus amomum,Phyciodes tharos
Cornus amomum,Polistes fuscatus
Cornus amomum,Polites coras
Cornus amomum,Pollenia rudis
Cornus amomum,Speyeria cybele
Cornus amomum,Syritta pipiens
Cornus amomum,Toxomerus marginatus
Cornus amomum,Trichiotinus affinis
Cornus amomum,Vanessa virginiensis
Cornus amomum,Xylocopa virginica
Cornus amomum,Zodion fulvifrons
Cornus racemosa,Agapostemon sericeus
Cornus racemosa,Ancistrocerus campestris
Cornus racemosa,Ancistrocerus unifasciatus
Cornus racemosa,Andrena carlini
Cornus racemosa,Andrena commoda
Cornus racemosa,Andrena cressonii
Cornus racemosa,Andrena forbesii
Cornus racemosa,Andrena hippotes
Cornus racemosa,Andrena imitatrix
Cornus racemosa,Andrena platyparia
Cornus racemosa,Anthomyia pluvialis
Cornus racemosa,Apis mellifera
Cornus racemosa,Archytas aterrima
Cornus racemosa,Augochlorella aurata
Cornus racemosa,Belvosia bifasciata
Cornus racemosa,Belvosia unifasciata
Cornus racemosa,Bombus auricomus
Cornus racemosa,Bombus pensylvanicus
Cornus racemosa,Ceratina dupla
Cornus racemosa,Chalybion californicum
Cornus racemosa,Eristalinus aeneus
Cornus racemosa,Eristalis dimidiata
Cornus racemosa,Eumenes fraternus
Cornus racemosa,Eupeodes americanus
Cornus racemosa,Euphoria fulgida
Cornus racemosa,Graphomya americana
Cornus racemosa,Hylaeus affinis
Cornus racemosa,Hylaeus floridanus
Cornus racemosa,Hylaeus modestus
Cornus racemosa,Lasioglossum imitatum
Cornus racemosa,Lasioglossum pectorale
Cornus racemosa,Lasioglossum tegulare
Cornus racemosa,Lasioglossum versatum
Cornus racemosa,Lestica confluenta
Cornus racemosa,Lucilia sericata
Cornus racemosa,Mordella marginata
Cornus racemosa,Morellia micans
Cornus racemosa,Nomada affabilis
Cornus racemosa,Nomada superba
Cornus racemosa,Orthonevra nitida
Cornus racemosa,Oxybelus emarginatus
Cornus racemosa,Paradidyma singularis
