plant,pollinator
Antennaria plantaginifolia,Morellia micans
Antennaria plantaginifolia,Nomada cressonii
Antennaria plantaginifolia,Nomada integerrima
Antennaria plantaginifolia,Nomada obliterata
Antennaria plantaginifolia,Orthonevra nitida
Antennaria plantaginifolia,Osmia pumila
Antennaria plantaginifolia,Platycheirus hyperboreus
Antennaria plantaginifolia,Platycheirus quadratus
Antennaria plantaginifolia,Sphecodes antennariae
Antennaria plantaginifolia,Toxomerus marginatus
Anthemis cotula,Eupeodes latifasciatus
Anthemis cotula,Halictus rubicundus
Anthemis cotula,Lasioglossum imitatum
Anthemis cotula,Pieris rapae
Anthemis cotula,Thecophora occidensis
Anthemis cotula,Xylota segnis
Anthriscus sylvestris,Aglais io
Anthriscus sylvestris,Aglais urticae
Anthriscus sylvestris,Agriotes lineatus
Anthriscus sylvestris,Agriotes sputator
Anthriscus sylvestris,Agrotis ipsilon
Anthriscus sylvestris,Amphipyra tragopoginis
Anthriscus sylvestris,Andrena barbilabris
Anthriscus sylvestris,Andrena wilkella
Anthriscus sylvestris,Anthocharis cardamines
Anthriscus sylvestris,Anthrenus fuscus
Anthriscus sylvestris,Anthrenus museorum
Anthriscus sylvestris,Apamea sordens
Anthriscus sylvestris,Araschnia levana
Anthriscus sylvestris,Athalia rosae
Anthriscus sylvestris,Athous haemorrhoidalis
Anthriscus sylvestris,Autographa gamma
Anthriscus sylvestris,Bellardia vulgaris
Anthriscus sylvestris,Bombus
Anthriscus sylvestris,Bombus hypnorum
Anthriscus sylvestris,Bombus lapidarius
Anthriscus sylvestris,Botanophila fugax
Anthriscus sylvestris,Brachypterus urticae
Anthriscus sylvestris,Brassicogethes aeneus
Anthriscus sylvestris,Bruchus rufimanus
Anthriscus sylvestris,Buathra laborator
Anthriscus sylvestris,Calliphora vicina
Anthriscus sylvestris,Calliphora vomitoria
Anthriscus sylvestris,Calvia quatuordecimguttata
Anthriscus sylvestris,Caradrina morpheus
Anthriscus sylvestris,Celastrina argiolus
Anthriscus sylvestris,Ceropales maculata
Anthriscus sylvestris,Ceutorhynchus obstrictus
Anthriscus sylvestris,Cheilosia albitarsis
Anthriscus sylvestris,Chelostoma campanularum
Anthriscus sylvestris,Chloromyia formosa
Anthriscus sylvestris,Clytus arietis
Anthriscus sylvestris,Coccinella septempunctata
Anthriscus sylvestris,Coenosia tigrina
Anthriscus sylvestris,Dasysyrphus venustus
Anthriscus sylvestris,Delia platura
Anthriscus sylvestris,Delia radicum
Anthriscus sylvestris,Dysstroma truncata
Anthriscus sylvestris,Ectemnius lapidarius
Anthriscus sylvestris,Epirrhoe alternata
Anthriscus sylvestris,Epistrophe nitidicollis
Anthriscus sylvestris,Episyrphus balteatus
Anthriscus sylvestris,Eristalis arbustorum
