plant,r10_rank_n,r50_rank_n,hit_rank_n,r10_rank_n_tax_ldelta,r50_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_gbm_geo_tuned,r50_gbm_geo_tuned,hit_gbm_geo_tuned,r10_twotower_none,r50_twotower_none,hit_twotower_none,r10_twotower_bioclip,r50_twotower_bioclip,hit_twotower_bioclip,r10_twotower_bioclip2,r50_twotower_bioclip2,hit_twotower_bioclip2,degree,range_size,genus,genus_seen,deg_q,range_q
Eurybia radulina,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,21.0,Eurybia,True,Q1 low,R2
Eurybia schreberi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2,23.0,Eurybia,True,Q1 low,R2
Eustoma exaltatum,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,91.0,Eustoma,False,Q1 low,R3
Fallugia paradoxa,0.1785714285714285,0.4285714285714285,1.0,0.0714285714285714,0.1428571428571428,1.0,0.1071428571428571,0.3571428571428571,1.0,0.1071428571428571,0.2857142857142857,1.0,0.1071428571428571,0.3928571428571428,1.0,0.0714285714285714,0.2857142857142857,1.0,28,92.0,Fallugia,False,Q4 high,R3
Forestiera segregata,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2,16.0,Forestiera,False,Q1 low,narrow
Fouquieria splendens,0.2307692307692307,0.6923076923076923,1.0,0.4615384615384615,0.6923076923076923,1.0,0.3076923076923077,0.6153846153846154,1.0,0.3076923076923077,0.6153846153846154,1.0,0.3846153846153846,0.6153846153846154,1.0,0.4615384615384615,0.6923076923076923,1.0,13,115.0,Fouquieria,False,Q3,wide
Fragaria chiloensis,0.1538461538461538,0.2307692307692307,1.0,0.2307692307692307,0.3846153846153846,1.0,0.2307692307692307,0.3846153846153846,1.0,0.2307692307692307,0.2307692307692307,1.0,0.2307692307692307,0.3076923076923077,1.0,0.3076923076923077,0.4615384615384615,1.0,13,48.0,Fragaria,True,Q3,R3
Frasera albicaulis,0.0,0.5,0.0,0.5,0.625,1.0,0.375,0.875,1.0,0.375,0.75,1.0,0.375,0.625,1.0,0.5,0.625,1.0,8,33.0,Frasera,True,Q3,R2
Frasera fastigiata,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3,13.0,Frasera,True,Q2,narrow
Frasera parryi,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,1.0,0.1666666666666666,0.5,1.0,6,6.0,Frasera,True,Q2,narrow
Fraxinus velutina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.0,Fraxinus,True,Q1 low,R2
Fumaria capreolata,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,28.0,Fumaria,False,Q1 low,R2
Funastrum heterophyllum,0.1666666666666666,0.5,1.0,0.2777777777777778,0.3888888888888889,1.0,0.3333333333333333,0.6111111111111112,1.0,0.3333333333333333,0.6666666666666666,1.0,0.2777777777777778,0.5,1.0,0.2777777777777778,0.5,1.0,18,54.0,Funastrum,True,Q3,R3
Gaillardia pinnatifida,0.4444444444444444,0.7777777777777778,1.0,0.3333333333333333,0.5555555555555556,1.0,0.3333333333333333,0.8888888888888888,1.0,0.3333333333333333,0.7777777777777778,1.0,0.3333333333333333,0.8888888888888888,1.0,0.4444444444444444,0.7777777777777778,1.0,9,49.0,Gaillardia,True,Q3,R3
Galanthus nivalis,0.0909090909090909,0.2727272727272727,1.0,0.0909090909090909,0.4545454545454545,1.0,0.2727272727272727,0.4545454545454545,1.0,0.2727272727272727,0.4545454545454545,1.0,0.1818181818181818,0.5454545454545454,1.0,0.2727272727272727,0.7272727272727273,1.0,11,244.0,Galanthus,False,Q3,wide
Galearis spectabilis,0.0476190476190476,0.0952380952380952,1.0,0.0952380952380952,0.0952380952380952,1.0,0.0952380952380952,0.0952380952380952,1.0,0.0952380952380952,0.0952380952380952,1.0,0.0952380952380952,0.1904761904761904,1.0,0.0952380952380952,0.2857142857142857,1.0,21,190.0,Galearis,False,Q4 high,wide
Galium aparine,0.0952380952380952,0.0952380952380952,1.0,0.0476190476190476,0.4285714285714285,1.0,0.0476190476190476,0.1428571428571428,1.0,0.0476190476190476,0.0952380952380952,1.0,0.0476190476190476,0.1428571428571428,1.0,0.0476190476190476,0.0952380952380952,1.0,21,769.0,Galium,True,Q4 high,wide
Garberia heterophylla,0.0,0.0,0.0,0.2142857142857142,0.5714285714285714,1.0,0.2857142857142857,0.7142857142857143,1.0,0.3571428571428571,0.6428571428571429,1.0,0.2857142857142857,0.6428571428571429,1.0,0.2857142857142857,0.7142857142857143,1.0,14,18.0,Garberia,False,Q3,narrow
Gelsemium sempervirens,0.2,0.4,1.0,0.1,0.4,1.0,0.4,0.5,1.0,0.3,0.6,1.0,0.3,0.4,1.0,0.4,0.6,1.0,10,193.0,Gelsemium,False,Q3,wide
Genista monspessulana,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,3,47.0,Genista,False,Q2,R3
Geobalanus oblongifolius,0.0,0.2352941176470588,0.0,0.0588235294117647,0.2352941176470588,1.0,0.1764705882352941,0.4117647058823529,1.0,0.1176470588235294,0.2941176470588235,1.0,0.1176470588235294,0.2941176470588235,1.0,0.1176470588235294,0.3529411764705882,1.0,17,63.0,Geobalanus,False,Q3,R3
Geranium sanguineum,0.2222222222222222,0.3333333333333333,1.0,0.2222222222222222,0.3333333333333333,1.0,0.4444444444444444,0.5555555555555556,1.0,0.3333333333333333,0.5555555555555556,1.0,0.3333333333333333,0.5555555555555556,1.0,0.3333333333333333,0.5555555555555556,1.0,9,58.0,Geranium,True,Q3,R3
Geranium viscosissimum,0.024390243902439,0.3170731707317073,1.0,0.1707317073170731,0.3902439024390244,1.0,0.1951219512195122,0.3902439024390244,1.0,0.2195121951219512,0.4390243902439024,1.0,0.1707317073170731,0.4390243902439024,1.0,0.1463414634146341,0.4634146341463415,1.0,41,88.0,Geranium,True,Q4 high,R3
Glandularia bipinnatifida,0.2727272727272727,0.6363636363636364,1.0,0.2272727272727272,0.6818181818181818,1.0,0.2272727272727272,0.7727272727272727,1.0,0.0909090909090909,0.6818181818181818,1.0,0.0909090909090909,0.7272727272727273,1.0,0.2727272727272727,0.7727272727272727,1.0,22,76.0,Glandularia,True,Q4 high,R3
Gnaphalium palustre,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,25.0,Gnaphalium,False,Q1 low,R2
Gutierrezia microcephala,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3,26.0,Gutierrezia,True,Q2,R2
Gutierrezia sarothrae,0.0697674418604651,0.1395348837209302,1.0,0.1162790697674418,0.3255813953488372,1.0,0.0930232558139534,0.2558139534883721,1.0,0.0930232558139534,0.2558139534883721,1.0,0.1395348837209302,0.3255813953488372,1.0,0.1395348837209302,0.3255813953488372,1.0,43,75.0,Gutierrezia,True,Q4 high,R3
Halesia diptera,0.4,0.4,1.0,0.2,0.2,1.0,0.4,0.8,1.0,0.4,0.8,1.0,0.4,0.8,1.0,0.6,1.0,1.0,5,20.0,Halesia,False,Q2,narrow
Hamamelis virginiana,0.1875,0.4375,1.0,0.3125,0.625,1.0,0.125,0.4375,1.0,0.125,0.375,1.0,0.25,0.625,1.0,0.3125,0.75,1.0,16,391.0,Hamamelis,True,Q3,wide
Hamelia patens,0.0519480519480519,0.2077922077922078,1.0,0.0909090909090909,0.2857142857142857,1.0,0.1168831168831168,0.3246753246753247,1.0,0.0909090909090909,0.2987012987012987,1.0,0.1038961038961039,0.4025974025974026,1.0,0.1168831168831168,0.3636363636363636,1.0,77,35.0,Hamelia,False,Q4 high,R2
Hartwrightia floridana,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,3,5.0,Hartwrightia,False,Q2,narrow
Hedeoma pulegioides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894736,0.0,0.0526315789473684,0.2631578947368421,1.0,19,32.0,Hedeoma,False,Q4 high,R2
Helianthella castanea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,Helianthella,True,Q1 low,narrow
Helianthus argophyllus,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6.0,Helianthus,True,Q1 low,narrow
Helianthus giganteus,0.0,0.16,0.0,0.28,0.64,1.0,0.24,0.52,1.0,0.32,0.48,1.0,0.24,0.56,1.0,0.16,0.56,1.0,25,27.0,Helianthus,True,Q4 high,R2
Helianthus mollis,0.0833333333333333,0.25,1.0,0.2083333333333333,0.4166666666666667,1.0,0.125,0.3333333333333333,1.0,0.125,0.2916666666666667,1.0,0.125,0.375,1.0,0.1666666666666666,0.3333333333333333,1.0,24,74.0,Helianthus,True,Q4 high,R3
Heliomeris multiflora,0.0833333333333333,0.1666666666666666,1.0,0.0833333333333333,0.6666666666666666,1.0,0.4166666666666667,0.6666666666666666,1.0,0.4166666666666667,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.25,0.75,1.0,12,42.0,Heliomeris,False,Q3,R3
Heliotropium indicum,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,1.0,0.25,0.25,1.0,4,112.0,Heliotropium,True,Q2,wide
Helminthotheca echioides,0.0727272727272727,0.4181818181818181,1.0,0.1454545454545454,0.4909090909090909,1.0,0.1272727272727272,0.509090909090909,1.0,0.1454545454545454,0.5272727272727272,1.0,0.1636363636363636,0.5454545454545454,1.0,0.1454545454545454,0.5454545454545454,1.0,55,35.0,Helminthotheca,False,Q4 high,R2
Hesperocallis undulata,0.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,2,51.0,Hesperocallis,False,Q1 low,R3
Heterotheca subaxillaris,0.0925925925925925,0.2777777777777778,1.0,0.074074074074074,0.1851851851851851,1.0,0.074074074074074,0.3888888888888889,1.0,0.0925925925925925,0.3888888888888889,1.0,0.1296296296296296,0.3888888888888889,1.0,0.0925925925925925,0.4074074074074074,1.0,54,192.0,Heterotheca,True,Q4 high,wide
Heuchera parviflora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,18.0,Heuchera,True,Q1 low,narrow
