jaccard_rank,species,pollinator_species,n_bins,overlap_mean,overlap_weighted_mean,overlap_std,overlap_min,overlap_max,total_obs_plant,total_obs_pollinator
84,Impatiens capensis,Campaea perlata,88.0,0.3564191997429171,0.4576082945103031,0.13490990619697907,0.0,0.6054158607350096,5588.0,14688.0
85,Sanguinaria canadensis,Halysidota tessellaris,117.0,0.0012309416023942356,0.0010893790505329547,0.004519161218274308,0.0,0.03571428571428571,9310.0,24677.0
86,Sanguinaria canadensis,Eurosta solidaginis,108.0,0.1180604943038342,0.15066815510621084,0.08714707840982353,0.0,0.31620553359683795,9130.0,7039.0
87,Asclepias syriaca,Tetraopes tetrophthalmus,85.0,0.6233707193629883,0.6973662936163185,0.1262243704091364,0.2857142857142857,0.8871906841339157,2974.0,23320.0
88,Passiflora incarnata,Xylophanes tersa,82.0,0.31935533729780824,0.39323536350227495,0.14911266950132382,0.05,0.6262626262626263,4170.0,5363.0
89,Impatiens capensis,Polygonia comma,99.0,0.27553768606943085,0.36972792195094567,0.11870564727828048,0.0,0.5616902300063304,5566.0,19030.0
90,Erythronium americanum,Lophocampa caryae,50.0,0.010723145907156712,0.018149392737738378,0.022433411110535154,0.0,0.1320754716981132,4653.0,20170.0
91,Impatiens capensis,Euchaetes egle,98.0,0.5226839905619444,0.637681528591072,0.17758780790387937,0.16666666666666666,0.8527477325221114,5555.0,17799.0
92,Impatiens capensis,Eristalis transversa,102.0,0.39063748681530697,0.5237780345711135,0.16823558706125402,0.0,0.6878654970760234,5601.0,13418.0
93,Aquilegia canadensis,Cucullia convexipennis,78.0,0.013791192681040312,0.018463918967125948,0.020872875774535074,0.0,0.1,5473.0,4075.0
94,Aquilegia canadensis,Scopula limboundata,104.0,0.12402654409134614,0.1257016199521806,0.1008397951153035,0.0,0.4307692307692308,6114.0,12820.0
95,Impatiens capensis,Pelecinus polyturator,86.0,0.5230069102786638,0.5964753285313189,0.1678048580433544,0.0,0.8127090301003345,5366.0,3166.0
96,Sanguinaria canadensis,Chauliognathus pensylvanicus,110.0,0.0001991324183837553,0.0002181264476220372,0.0018489018939924979,0.0,0.019230769230769232,9221.0,22939.0
97,Sanguinaria canadensis,Rhopalomyia solidaginis,78.0,0.014175321104029989,0.02309331474043808,0.02845695614180656,0.0,0.1288102261553589,8730.0,3475.0
98,Cypripedium acaule,Lon hobomok,65.0,0.5352733536075855,0.5518822688041403,0.1620613005765229,0.1511627906976744,0.9149809160305343,8393.0,6439.0
99,Impatiens capensis,Necrophila americana,101.0,0.299476419924609,0.38372662173766897,0.13396044203834342,0.0,0.5815801776531089,5588.0,9246.0
100,Impatiens capensis,Orthosoma brunneum,84.0,0.26507317301528593,0.31525738221984817,0.12214771168696971,0.0,0.6074700493305145,5366.0,5049.0
